job_id,job_description
11,"### **Summary**

State Farm is seeking a Software Engineer Java/Gosu to join their team in Tempe, AZ. The role involves providing production support for the PolicyCenter application and contributing to the modernization of the Personal Lines Auto Policy Administration System.

### **About the Role**

As a Software Engineer, you will be responsible for working on the PLA Incident Management, Technical Triage, and Case Management team across P&C Auto/Fire - Personal Lines Auto teams. Your daily tasks will include supporting the PL-Auto application, collaborating with over 50 product teams, and addressing complex production problems.

### **About You**

**Required:**

- 4+ years of Software Engineering experience, or equivalent.
- 4+ years of Object JAVA Oriented development experience.
- 2+ years of Gosu development experience.
- 2+ years of experience with CI/CD Pipelines and SDLC best practices.
- Ability to triage complex production problems and Incident Management.
- Strong aptitude and demonstrated ability to learn new languages and frameworks.
- Knowledge of agile methodologies.
- Strong communication skills, both verbal & written.
- Eligible to lawfully work in the U.S. immediately; employer will not sponsor applicants for U.S. work authorization.

**Preferred:**

- Guidewire PolicyCenter experience is highly preferable.
- Enthusiasm for innovation and new ideas.
- Ability to collaborate and build relationships locally & across locations.
- Flexibility to provide production support on weekends and off-hours as needed.

### **Benefits**

- Competitive benefits and pay with the potential for an annual financial award based on individual and enterprise performance.
- Compensation Range: \$85.5k–\$241.25k.
- Potential yearly incentive pay: up to 18% of base salary.
- 401k Plan.
- Health Insurance.
- Dental/Vision plans.
- Life Insurance.
- Paid Time Off.
- Annual Merit Increases.
- Tuition Reimbursement.
- Health Initiatives."
12,"### **Summary**

EMTAK LLC is seeking a Geospatial Data Analyst and Engineer to join their team in Annapolis, MD. The role involves developing cutting-edge geospatial analysis, ETL (Extract, Transform, Load), and visualization microservices to support mission-focused systems.

### **About the Role**

As a Geospatial Data Analyst and Engineer, you will be responsible for designing, implementing, and maintaining scalable and performant Java-based microservices that interact with both relational and NoSQL databases. Your daily tasks will include collaborating with cross-functional teams to gather requirements, developing Java microservices focused on geospatial data processing, and integrating geospatial functionality into services.

### **About You**

**Required:**

- TS/SCI with Polygraph.
- Bachelor's or higher degree in Computer Science, Software Engineering, or a related field.
- Understanding of the Java programming language.
- Understanding of microservices architecture and design principles.
- Familiarity with relational and NoSQL databases and their interactions.
- Excellent problem-solving skills and ability to work in a collaborative team environment.
- Effective communication skills for both technical and non-technical audiences.
- Self-motivated and able to manage multiple tasks and priorities effectively.

**Preferred:**

- Experience with geospatial libraries and tools (e.g., GDAL, GeoTools).
- Knowledge of cloud platforms such as AWS.
- Exposure to containerization technologies (Docker, Kubernetes).
- Familiarity with version control systems (e.g., Git).

### **Benefits**

- No benefits information provided."
13,"### **Summary**

Uber is seeking a Senior Software Engineer - Backend to join their team in Seattle, WA. The role involves driving the development and operations of security services and frameworks to support user-facing products and platforms across Uber.

### **About the Role**

As a Senior Software Engineer - Backend, you will be responsible for designing, developing, and implementing software solutions to enhance the security posture of the organization. Your daily tasks will include building backend infrastructure for ETL, conducting code reviews and testing, and collaborating with cross-functional teams such as network operations, incident response, and compliance to ensure a cohesive approach to cybersecurity.

### **About You**

**Required:**

- BS/MS Degree in Computer Science or related field.
- 5+ years of industry experience in a software development environment.
- Proficiency in programming languages like Java, Golang, or Python.
- Hands-on experience with middleware, message queues, caches, and other related technologies.
- Strong experience in architecture design, high-availability, and high-performance systems.
- Deep understanding of distributed systems.

**Preferred:**

- Prior experience leading the design and development of complex systems, preferably in big data or related fields.
- Experience with building real-time data pipelines.
- Deep understanding of distributed systems, such as load balancing, distributed transactions, CAP/BASE, etc.
- Experience with infrastructure security enhancement, threat detection, and mitigation.

### **Benefits**

- Base salary range for this role is \$185k–\$205.5k per year.
- Eligibility to participate in Uber's bonus program, and may be offered an equity award & other types of compensation.
- Various benefits including health insurance."
14,"### **Summary**

MAG USA Inc. is seeking a Next Generation Threat System Software Engineer to join their team in Lexington Park, MD. The role involves designing and developing software solutions for next-generation threat systems and collaborating with experts in the field.

### **About the Role**

As a Next Generation Threat System Software Engineer, you will be responsible for designing and developing software solutions, collaborating with cross-functional teams for seamless integration, and testing and debugging software to ensure high-quality results.

### **About You**

**Required:**

- 4+ years of experience in software engineering, preferably with EW systems.
- Strong understanding of programming languages such as C++, Python, and Lua.
- Experience with database programming and scripting.
- Excellent communication skills.

**Preferred:**

- Experience with EW systems.

### **Benefits**

- The estimated salary range for this position is \$140,000 to \$180,000 per year, depending on location and qualifications.
- Benefits and compensation packages will be discussed during the interview process."
15,"### **Summary**

Coinbase is seeking a Staff Software Engineer, Fullstack (Developer - Onchain Payments) to join their team remotely in the United States. The role involves leading the development of a new onchain payments product that aims to disrupt the payments industry using crypto technology.

### **About the Role**

As a Staff Software Engineer, you will be responsible for bringing a 0-to-1 product to life to replace the global payment stack with crypto rails. Your daily tasks will include leading the fullstack design and development of a secure, high-performance product using TypeScript, Go, and Solidity, rapidly prototyping user flows, integrating with existing Coinbase surfaces, and driving the adoption of a novel open-source web3 payment protocol. You will also optimize performance, troubleshoot complex issues, and provide technical guidance to the engineering team.

### **About You**

**Required:**

- 8+ years of experience in software development with a strong focus on fullstack development; 2+ years of experience in a leadership position of a crypto start-up is a plus.
- Mastery of Go, JavaScript, TypeScript, and Solidity; familiarity with Ruby is a plus.
- Proven track record of rapidly shipping high-quality fullstack systems.
- Deep understanding of Ethereum and EVM-compatible chains and experience with developing smart contracts.
- Strong expertise in frontend development using modern frameworks like React, Next.js, and Angular.
- Solid understanding of distributed systems, microservices architecture, and event-driven architectures, including experience with databases (PostgreSQL, MySQL, MongoDB), caching systems (Redis, Memcached), and message queues (Kafka, RabbitMQ).
- Experience with developer operations, including Cloud providers such as AWS and containerization technologies such as Kubernetes.
- Deep understanding of web security best practices and experience with implementing secure coding practices for financial systems.
- Exceptional problem-solving skills and ability to find elegant solutions to complex challenges in the crypto payment processing domain.
- Outstanding communication, leadership, and collaboration skills, with the ability to inspire and mentor teams.
- Bachelor's or Master's degree in Computer Science, Software Engineering, or equivalent experience.
- Crypto-forward experience, including familiarity with onchain activity such as interacting with Ethereum addresses, using ENS, and engaging with dApps or blockchain-based services.

**Preferred:**

- Experience in a leadership position within a crypto start-up.
- Familiarity with Ruby.

### **Benefits**

- Pay Transparency Notice: Depending on your work location, the target annual salary for this position can range as detailed below.
- Full-time offers from Coinbase also include target bonus + target equity + benefits (including medical, dental, vision, and 401(k)).
- \$211.65k–\$249k."
16,"### **Summary**

Agoda is seeking a Staff Software Engineer – Front End to join their team in Portland, OR. The role involves building, designing, and optimizing user interfaces for their online travel booking platform.

### **About the Role**

As a Staff Software Engineer (Front End) at Agoda, you will be responsible for engaging users with visually appealing and highly functional web applications. Your daily tasks will include collaborating with cross-functional teams to ensure seamless application functionality, driving best practices for performance, and mentoring junior team members.

### **About You**

**Required:**

- At least 8 years of experience in front-end development, particularly with client-side frameworks (React preferred).
- Strong core front-end skill set in JavaScript and the TypeScript ecosystem.
- Strong architecture skills and ability to drive decision-making in the team.
- Experience working with component libraries.
- Strong product sense and a passion for client-side performance optimization.
- Demonstrated ability to drive changes and impact across various teams.
- Love for collaboration through code reviews and architecture discussions.

**Preferred:**

- Experience leading teams and projects to solve significant, complex problems.
- Experience working in a large-scale app or internet company.
- Experience in a data-driven company, including analyzing and working with big data.
- Familiarity with modern JavaScript/TypeScript libraries and tooling (e.g., VueJS, AngularJS).
- Proficiency in modern coding and design practices, such as Clean Code, SOLID principles, and TDD.

### **Benefits**

Not provided."
17,"### **Summary**

GSK is seeking an AI/ML Services - Software Engineer to join their team in South San Francisco, CA. The role involves developing cutting-edge products in Machine Learning and AI to transform medicine and improve patient outcomes.

### **About the Role**

As an AI/ML Services - Software Engineer, you will be responsible for building a first-in-class platform that includes tools and services for high-performance computing, model training and deployment, and metrics calculation. Your work will aim to decrease AI/ML cycle times and enhance the quality of shipped services by simplifying platform integration and accelerating R&D processes.

### **About You**

**Required:**

- Bachelor’s or graduate degree in Computer Science, preferably focused on software engineering, high-performance computing, or machine learning.
- 2+ years of industry experience in software design or architecture.
- Experience in Python and in deploying APIs/backend services.
- Experience developing services and infrastructure on GCP or similar cloud software development.
- Experience working with Docker and Kubernetes, or closely related containerization and cluster computing frameworks.
- Strong sense of the abstractions needed to represent ML products and workflows, with demonstrated experience in database design, operations, and microservice development.

**Preferred:**

- Experience in event-based orchestration for multi-tenant use.
- Collaboration and a customer-first mindset, with experience partnering with Platform and Infra teams and machine learning product teams.
- Experience in DevOps and machine learning orchestration (using TensorFlow, Pytorch, or similar).
- Experience with Search and Ranking, Knowledge Graphs, Feature Stores, or other AI/ML products.
- Experience upholding software/production best practices in a larger organization.
- Agile-minded with proficiency in iterative software development and prototyping.

### **Benefits**

- The annual base salary for new hires in this position ranges from \$123.75k to \$206.25k, depending on various factors including work location, skills, experience, and education level.
- This position offers an annual bonus and eligibility to participate in a share-based long-term incentive program.
- Available benefits include health care and other insurance benefits (for employee and family), retirement benefits, paid holidays, vacation, and paid caregiver/parental and medical leave."
18,"### **Summary**

Recruiting from Scratch is seeking a Robotics Software Engineer to join their team in New York, NY. The role involves architecting and owning a greenfield web application that will revolutionize how developers interact with robotics hardware.

### **About the Role**

As a Robotics Software Engineer, you will be responsible for designing and building an intuitive interface for complex robotics development workflows. You will collaborate with an AI-first approach to create developer tools that understand systems programming and shape the technical direction of a product used by next-generation robotics companies. You will work directly with founding team members in a fast-paced, ownership-driven environment.

### **About You**

**Required:**

- 3+ years of frontend engineering experience, particularly with developer-facing tools.
- Strong foundation in TypeScript, JavaScript, React, and Node.js.
- Experience with IDE extensions, developer tools, or systems programming interfaces.
- Track record of building intuitive UIs for complex technical workflows.

### **Benefits**

- Competitive compensation: \$120k–\$180k base + equity.
- Comprehensive healthcare coverage.
- Unlimited PTO with flexible WFH policy.
- Daily team lunches in a modern office.
- A ground-floor opportunity at a VC-backed startup with runway."
19,"### **Summary**

Quantum Information Systems Solutions is seeking a Full Stack Software Engineer to join their team in Michigan. The role involves designing and developing applications from the front-end user interface to the back-end services and database design, ensuring a seamless and high-performing user experience.

### **About the Role**

As a Full Stack Software Engineer at Quantum, you will:
- Collaborate with design and development teams to architect and develop solutions based on design guidelines and requirements.
- Assist in the design/concept phase by preparing prototypes and related documentation.
- Execute the development of easy-to-use, high-performance applications.
- Ensure solutions are architected for flexibility, performance, and security.
- Implement front-end solutions that are consistent and compatible across multiple platforms, browsers, devices, and resolutions.
- Maintain well-commented code and ensure consistency across projects through code standards and documentation.
- Coordinate with QA team members to ensure developed solutions are easily testable.
- Maintain updated project documentation and task status using online collaboration tools.

### **About You**

**Required:**
- Legal authorization to work within the United States.
- Experience developing web-based applications and services using ASP.NET with experience in both C# and VB.
- Mastery of front-end web technologies such as HTML, CSS, and JavaScript.
- Bachelor’s degree or equivalent background/experience in Computer Science, Engineering, Web/Mobile Application Development, or related fields.
- Experience with databases including Microsoft SQL, Oracle, and MySQL.
- Meticulous attention to detail and user experience.
- Excellent analytical and problem-solving skills.
- Ability to travel globally per client and project requirements.

**Preferred:**
- Previous experience developing enterprise-grade applications, web APIs, and services.
- Knowledge of front-end frameworks and technologies such as AngularJS, Bootstrap, jQuery, LESS, and Sass.
- Experience with front-end libraries like Kendo UI or DevCraft.
- Strong understanding of responsive design and optimizing media queries for various devices and resolutions.
- Mobile development experience with iOS and Android.
- Exposure to server-side frameworks such as Node.js and languages like Java, C++, Objective C, Swift, or Python.
- Experience working with Functional Requirements, Design Documents, Style Guides, and Design Mockups.
- Proficiency in graphics tools like Photoshop, Illustrator, or Sketch.
- Experience in Agile development environments such as Scrum or Kanban.
- Proficiency with source control management tools like Git and Continuous Integration workflows.
- Experience developing applications for or supporting manufacturing systems/environments.
- Knowledge of Windows application design technologies such as WPF, WinForms, Windows Platform, or Windows Mobile.
- Experience working with international customers and teams.
- Strong interpersonal, analytical, and communication skills.
- Independent self-starter and quick learner.

### **Benefits**

*No benefits information provided in the job description.*"
20,"### **Summary**

NVIDIA is seeking a Senior System Software Engineer, Signing Services to join their team in Santa Clara, CA. The role involves designing, developing, and managing code signing solutions while collaborating with multiple product engineering teams.

### **About the Role**

As a Senior System Software Engineer, you will be responsible for building platforms that enhance NVIDIA's Code Signing strategy. Your daily tasks will include partnering with engineering teams, building secure cloud architecture, defining project roadmaps, designing microservices, and addressing application reliability and scalability challenges.

### **About You**

**Required:**

- BS or MS in Computer Science Engineering or a related field of study (or equivalent experience).
- 8+ years of experience in architecting, designing, and implementing software engineering solutions, particularly in product development.
- Solid understanding of cryptographic algorithms, including hashing, signing, and certificate generation.
- Familiarity with AuthN/AuthZ concepts and frameworks for securing production and corporate access, including SSO, SAML Federated Identity, RBAC, IAM policies, etc.
- Solid understanding of either Java or .NET programming languages, with experience in relevant frameworks such as Spring and SpringBoot.
- In-depth knowledge of AWS cloud platform (or other CSPs), with experience architecting high-throughput services.
- Hands-on experience with CI/CD pipelines and release management tools and end-to-end deployment using cloud services on AWS, including technologies like Kubernetes, Docker, Helm charts, etc.

**Preferred:**

- Prior experience crafting Cryptographic and PKI software systems.
- Prior technical leadership of cryptographic signing infrastructure, platform or software systems.
- Experience with threat modeling using tools such as Microsoft Threat Modeling Tool.
- Background with infrastructure and orchestration tools (Kubernetes, Terraform, GitOps, Swarm, Nomad, etc.).
- Experience with Google Cloud Platform (GCP), Microsoft Azure, and Oracle Cloud Infrastructure (OCI).

### **Benefits**

- The base salary range is \$184k–\$356.5k.
- Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
- You will also be eligible for equity and benefits."
21,"### **Summary**

Capital One is seeking a Cloud-Based Solutions Architect to join their team in Wilmington, DE. The role involves collaborating with product managers and leading a team of developers to create innovative cloud-based solutions.

### **About the Role**

As a Cloud-Based Solutions Architect, you will be responsible for:
- Collaborating with digital product managers to develop and implement solutions that meet regulatory needs for the company.
- Leading a team of developers and participating in internal & external technology communities to stay on top of tech trends.
- Developing and implementing solutions using programming languages like JavaScript, Java, HTML/CSS, TypeScript, SQL, Python, and Go, Open Source RDBMS and NoSQL databases, Container Orchestration services including Docker and Kubernetes, and a variety of AWS tools and services.

### **About You**

**Required:**

- Bachelor's Degree
- At least 4 years of experience in software engineering (Internship experience does not apply)
- At least 1 year experience with cloud computing (AWS, Microsoft Azure, Google Cloud)

### **Benefits**

- No benefits information provided."
22,"### **Summary**

Onyx Point, Inc. is seeking an Enterprise Software Engineering Lead to join their team in Wilmington, NC. The role involves leading a team of senior software engineers and architecting complex software systems.

### **About the Role**

As an Enterprise Software Engineering Lead, you will be responsible for leading a team of senior software engineers and architecting complex software systems. You will work closely with cross-functional teams to design and implement software solutions that meet the needs of our customers and stakeholders. You will also be responsible for mentoring junior software engineers and helping them to develop their skills and expertise.

### **About You**

**Required:**

- Deep understanding of software engineering principles and practices.
- Strong technical and leadership skills.
- Excellent communication and collaboration skills.

**Preferred:**

- Experience in designing and implementing scalable, secure, and reliable software systems.

### **Benefits**

- No benefits listed."
